Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude,Region,Hotel_Size_Category,Hotel_Type
HERITANCE NEGOMBO,"NO.175,LEWIS PLACE,NEGOMBO.",140,5,Gampaha,Negombo,Negombo Divisional Secretariat,79.838021,7.208799,Western,Medium,Other
HIBISCUS BEACH HOTEL,"MAHAWASKADUWA,KALUTARA NORTH,KALUTHARA",51,1,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.946725,6.615207,Western,Small,Budget
HOTEL BENTOTA VILLAGE,"ALWIS ROAD,WARAHENA,BENTOTA",14,2,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.004672,6.406818,Southern,Small,Budget
COLOMBO CITY HOTEL,"LEVEL 3,NO.33,CANAL ROW,COLOMBO 01.",48,1,Colombo,Colombo,Colombo Divisional Secretariat,79.844229,6.933327,Western,Small,Budget
HOTEL KABALANA,"KATHALUWA,AHANGAMA",22,2,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.347884,5.977906,Southern,Small,Budget
RAMADIA RANMAL HOLIDAY RESORT,"346/5,GALLE ROAD,GORAKANA,MORATUWA",25,1,Kalutara,Moratuwa,Moratuwa Divisional Secretariat,79.8977545,6.7636079,Western,Small,Budget
HOTEL DULYANA,"488/18,MAITHREEPALA SENANAYAKE MW,ANURADHAPURA",30,2,Anuradhapura,Anuradhapura,N.P.East,80.405856,8.325802,North Central,Small,Budget
INDRA REGENT HOTEL,"NO.383,R.A.D.MEL MAWATHA,COLOMBO 03",26,1,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,79.854138,6.90434,Western,Small,Budget
HOTEL CHAMILA,"NO.85,TISSA ROAD,DETAGAMWA KATARAGAMA.",50,1,Moneragala,Thissamaharama,Katharagama Divisional Secretariat,81.33300018,6.416999817,,Small,Budget
HOTEL SUSANTHAS,"NATIONAL HOLIDAY RESORT RD,PITARAMBA,BENTOTA",18,1,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.996968,6.421783,Southern,Small,Budget
BERJAYA MOUNT ROYAL BEACH HOTEL,"NO:36,COLLAGE AVENUE,MOUNT LAVINIA",90,1,Colombo,Moratuwa,Mount Lavinia,79.864017,6.838659,Western,Small,Budget
NILWALA HOTEL,"NILWALA HOTEL, GALLE ROAD, KALUWAMODARA, ALUTHGAMA.",10,1,Kalutara,Aluthgama,Aluthgama,79.993697,6.439855,Western,Small,Budget
PIGEON ISLAND BEACH HOTEL,"11TH MILE POST, NILAVELI, TRINCOMALEE.",38,2,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.1836029,8.712216,Eastern,Small,Budget
GLENDOWER HOTEL,"NO:05,GRAND HOTEL ROAD,NUWARA ELIYA",20,1,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.7663938,6.9675209,Central,Small,Budget
RANDIYA HOTEL,"389,KORALAWELLA,MORATUWA",10,1,Colombo,Moratuwa,Moratuwa Divisional Secretariat,79.8934418,6.7504834,Western,Small,Budget
TEMPLE TREE RESORT AND SPA,"NO:660,GALLE ROAD,INDURUWA",10,2,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.0088026,6.385751,Southern,Small,Budget
FULL MOON GARDEN HOTEL,"NO.754, COLOMBO ROAD, KATUNAYAKE.",30,1,Gampaha,Katana Pradeshiya Sabha,Katana Divisional Secretariat,79.874539,7.154204,Western,Small,Budget
BARBERYN REEF AYURVEDA RESORT,"MORAGALLA,BERUWALA",75,1,Kalutara,Bentota Pradeshiya Sabha,Beruwala Divisional Secretariat,79.979952,6.4500038,Western,Small,Budget
GIMANHALA HOTEL,754 ANURADHAPURA ROAD DAMBULLA,17,2,Matale,Matale,Dambulla Divisional Secretariat,80.650599,7.879954,Central,Small,Budget
FIELDVIEW HOLYDAY RESORT,"ANNASIWATTE ROAD,OFF MDH,JAWARDANA MW,ATHURUGIRIYA.",10,1,Colombo,Colombo,Kesbewa Divisional Secretariat,79.986678,6.894121,Western,Small,Budget
LAKE SERENITY,"GONAPITIYA, KURUWITA",14,2,Ratnapura,Ratnapura,Ratnapura Divisional Secretariat,80.352292,6.762787,Sabaragamuwa,Small,Budget
KOGGALA BEACH HOTEL,"KOGGALA,HABARADUWA.",189,1,Galle,Galle,Habaraduwa Divisional Secretariat,80.3218329,5.9892056,Southern,Medium,Other
HOTEL SUNHILL,"NO.18 UNIQUE VIEW ROAD,NUWARAELIYA",15,1,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.765424,6.963358,Central,Small,Budget
HOTEL HILL TOP,"200/21,BAHIRAVAKANDA,PERADENIYA ROAD,KANDY",81,2,Kandy,Kandy,Kundasale Divisional Secretariat,80.628789,7.289342,Central,Small,Budget
AVANI BENTOTA RESORT & SPA,"NATIONAL HOLIDAY RESORT,BENTOTA",90,2,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.996304,6.423673,Southern,Small,Budget
AUSTRIAN BEACH RESORT,"2/A 2, BANDARAWATTA,KEMAGODA,DICKWELLA",10,1,Matara,Matara,Dickwella Divisional Secretariat,80.722005,5.978461,Southern,Small,Budget
ROYAL LOTUS HOTEL,"GIRITHALE, POLONNARUWA.",56,2,Polonnaruwa,Polonnaruwa,Polonnaruwa Divisional Secretariat,80.921978,7.991502,North Central,Small,Budget
RIVERDALE HOTEL,"32, ANIWATTA ROAD, KANDY.",29,2,Kandy,Kandy,Kandy Divisional Secretariat,80.621583,7.289724,Central,Small,Budget
PARADISE HOLIDAY VILLAGE,"NO. 154/9, PORUTHOTA ROAD, PALANGATHURE, KOCHCHIKADE, NEGOMBO",33,1,Gampaha,Negombo,Negombo Divisional Secretariat,79.8422101,7.2467725,Western,Small,Budget
KITHALA RESORT,"KATARAGAMA ROAD, THISSAMAHARAMA.",40,2,Hambantota,Thissamaharama,Thissamaharama Divisional Secretariat,81.297427,6.292455,Southern,Small,Budget
LALITHA HOTEL,"NO.200A,GALLE ROAD, PAMBURANA, MATARA.",27,2,Matara,Matara,Matara Divisional Secretariat,80.5251754,5.9442652,Southern,Small,Budget
RATHNALOKA TOUR INN,"KOSGALA, KAHAGAMA, RATNAPURA",53,1,Ratnapura,Ratnapura,Ratnapura Divisional Secretariat,80.356453,6.713322,Sabaragamuwa,Small,Budget
HOTEL CASAMARA,"NO.12, KATUGODELLA VIDIYA, KANDY.",33,2,Kandy,Kandy,Kandy Divisional Secretariat,80.63721,7.293367,Central,Small,Budget
HOTEL YAPAHUWA PARADISE,"KINGDOM ROAD,YAPAHUWA,MAHO",20,2,Kurunegala,Mahawa Pradeshiya Sabha,Mahawa Divisional Secretariat,80.305903,7.82901,North Western,Small,Budget
RANDHOLEE RESORTS,"HEERASSAGALA, BOWALAWATTE, KANDY",25,1,Kandy,Kandy,Kandy Divisional Secretariat,80.616914,7.2631411,Central,Small,Budget
SERENE GARDEN HOTEL,"NO. 189, RAJAPIHILLA MAWATHA, KANDY",35,1,Kandy,Kandy,Kandy Divisional Secretariat,80.6441223,7.2848598,Central,Small,Budget
WILA SAFARI HOTEL,"PANNEGAMUWA,WEERAWILA",10,1,Hambantota,Thissamaharama,Thissamaharama Divisional Secretariat,81.236615,6.293125,Southern,Small,Budget
WINDSOR HOTEL,"NO.02, KANDY ROAD, NUWARA ELIYA.",50,1,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.770061,6.970741,Central,Small,Budget
HOTEL ATHGIRI,"NO. 344-350, KANDY ROAD, KURUNEGALA",23,1,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,80.372245,7.479005,North Western,Small,Budget
MIRIDIYA HOTEL,"WASALA DATHTHA MAWATHA, ANURADHAPURA",40,1,Anuradhapura,Anuradhapura,Anuradhapura East,80.4185724,8.3314154,North Central,Small,Budget
LADY HILL,"NO. 29,UPPER DICKSON ROAD, GALLE",15,1,Galle,Galle,Galle Divisional Secretariat,80.218668,6.038658,Southern,Small,Budget
GIRITALE HOTEL,"NATIONAL HOLIDAY RESORT, GIRITALE",40,1,Polonnaruwa,Polonnaruwa,Polonnaruwa Divisional Secretariat,80.927946,7.997114,North Central,Small,Budget
SANMIRA RENAISSANCE,"MATARA ROAD, UNAWATUNA",20,3,Galle,Habaraduwa,Galle Divisional Secretariat,80.255045,6.006051,Southern,Small,Other
OMEGA REGENCY,"NO. 324, GALLE ROAD, COLOMBO 06",15,1,Colombo,Colombo,Colombo Divisional Secretariat,79.862086,6.869123,Western,Small,Budget
